ticker,yearReport,Market Capital (Bn. VND),P/E,P/B,EPS (VND),BVPS (VND),ROE (%),ROA (%),Net Profit Margin (%)
DHM,2019,400301295000.0,95.1494351153,1.1183789689,148.87416558320152,11400.4289728878,0.0131328169,0.0079203176,0.0042017272134947
DHM,2018,400301295000.0,70.4784330552,1.131155959,201.0043920948345,11271.6552464981,0.0197420674,0.0108819881,0.007023449697379
DHM,2017,320574818250.0,107.1386535707,1.1231089487,132.2488470903157,11352.4160004308,0.0116783045,0.0058031895,0.0037057198633022
DHM,2016,320574818250.0,31.9942996644,1.1286959284,449.2181795793625,11296.2221971789,0.0401117825,0.0239124573,0.0125166988953679
DHM,2015,299604217500.0,64.9187361507,1.0733066777,223.1811218395148,11879.1770001068,0.0189550314,0.0149384327,0.0110240071058489
DHM,2014,299604217500.0,95.7884984009,1.0926099208,133.1057508244189,11669.3064533412,0.0115084031,0.0089476706,0.006446471132732
DHN,2023,150352510000.0,10.0935656696,1.8178058319,2440.9665917436296,13147.7188492902,0.187818228,0.1646183432,0.1706801793544201
DHN,2022,132108900000.0,10.5696475736,1.6348592307,2048.3386416887884,12845.1426309431,0.1634888266,0.1423559441,0.145053456256162
DHN,2021,139028890000.0,12.5160300078,1.8095916596,1781.631596273983,12212.6999659826,0.1491438258,0.1228224223,0.1392023643577853
DHN,2020,218923320000.0,27.0381286828,2.9797693441,1334.7592511405364,11678.7562998935,0.1154498542,0.0854282769,0.1124542349507304
DHN,2019,191243360000.0,25.8805683358,2.6564145264,1254.1063294600135,11443.997048753,0.1081459556,0.0761209147,0.1138776916213804
DHN,2018,191243360000.0,25.5718333061,2.5874871788,1188.8079996502886,11748.8504865758,0.1041394086,0.0800693837,0.104018347322537
DHN,2017,191243360000.0,27.6949792401,2.7431283646,1177.1517662019742,11082.2374892305,0.1066900249,0.0870362678,0.104216973839935
DHN,2016,191243360000.0,24.2718986674,2.7675295565,1252.47721311736,10984.5258667281,0.1149447525,0.0968779398,0.114375578696315
DHN,2015,191243360000.0,28.3409746279,2.8126907044,1072.651890031633,10808.1560309336,0.0996709288,0.0815622987,0.1000723718041541
DHN,2014,191243360000.0,30.5647382693,2.836956046,994.6101855060484,10715.7106091338,0.0928179401,0.0724477427,0.102568603542748
DHP,2023,108211080000.0,8.8361768153,0.6317963702,1343.907014074714,18043.7883759297,0.0750670222,0.0575308964,0.0557228661731023
DHP,2022,106312640000.0,7.9712239875,0.630569024,1463.597897220876,17761.7351531784,0.0833552589,0.0622998046,0.0527792537967406
DHP,2021,114855620000.0,9.6674044953,0.6971903591,1303.7797966751648,17355.3748157435,0.0756636848,0.0603146537,0.0472673020951443
DHP,2020,128144700000.0,11.3112940303,0.7891449537,1243.2264569857357,17107.1232692105,0.0730695784,0.0581394818,0.0442771151033165
DHP,2019,105363420000.0,9.0806717032,0.6559724651,1273.308889298582,16921.4419657192,0.0757061124,0.0597277534,0.0432708894621265
DHP,2018,105363420000.0,6.5376224832,0.6640041224,1740.102471292219,16716.7636847096,0.1062674027,0.0837439754,0.0654226811960303
DHP,2017,105363420000.0,9.0782983264,0.692333213,1273.641775563094,16032.7423159015,0.0812443663,0.0591262012,0.0453631441546744
DHP,2016,105363420000.0,8.3899432797,0.7245140514,1378.1380414445546,15320.6138364131,0.090874855,0.0669609315,0.0506294911835261
DHP,2015,105363420000.0,2.3320207209,0.7395146127,4818.72154748109,15009.8453889509,0.3586416074,0.2716814314,0.152176302197606
DHP,2014,105363420000.0,6.8018474398,0.9357433786,1631.909580181623,11862.2266040539,0.1453622128,0.1003099951,0.062250437436178
DHT,2023,5763924110000.0,67.7665817453,5.5514558345,1032.9575167758412,12609.3050340682,0.0939003061,0.0514277857,0.0425425885748594
DHT,2022,607403044000.0,6.379523764,0.785426735,3605.284790979744,29283.4442406532,0.1266860536,0.0703421318,0.0518186706847587
DHT,2021,1027303409200.0,15.1195166938,1.4077170699,2572.83356258748,27633.3936915338,0.1232059801,0.0629814206,0.0422188632346468
DHT,2020,950731425000.0,11.1053107947,2.9143224672,4356.790138287477,15440.9817397484,0.2781901774,0.1110165203,0.0458752228172406
DHT,2019,995098891500.0,12.4545936027,3.4464190924,4081.587865973821,13666.3588312125,0.2932372412,0.1252165929,0.0422249070193301
DHT,2018,887588761200.0,11.7778948475,3.5525129673,4302.536991638848,13258.2204295706,0.3058540794,0.1273013567,0.047544826063461
DHT,2017,591749846100.0,8.8223845409,2.5956082685,5741.7082616883845,18146.0355828554,0.3160176306,0.1256003821,0.0487308872312916
DHT,2016,295910554200.0,5.9178478701,1.6785069647,8563.022049462945,28060.6521102244,0.2888485665,0.1131956754,0.0446293748884561
DHT,2015,295910554200.0,8.7407371436,2.0582974031,5855.445134038413,22882.9905386335,0.2375666121,0.0914106133,0.0391117828685252
DHT,2014,295910554200.0,11.2523784462,2.1204610834,4185.781719421348,22212.1501631012,0.1866761632,0.075884238,0.0320681455885841
DIC,2023,29244424000.0,49.7965629434,0.0,22.089877995203462,0.0,-0.0101148627,0.0004985477,0.0005420788592782
DIC,2022,32009351360.0,-0.3005852694,0.0,-4005.518974499207,0.0,20.8416311338,-0.0925548016,-6.163973846814723
DIC,2021,42537344000.0,-0.5836232339,2.4900612564,-1573.4780454933905,642.5544736597,-1.2807122439,-0.0531869738,-0.0298777922023379
DIC,2020,164832208000.0,-1.3654404761,1.8321246795,-4540.659302734087,3384.0491695203,-0.7813264685,-0.0822834225,-0.1110850215051052
DIC,2019,47854512000.0,-0.7424365579,0.227137693,-2424.44957853504,7924.7084722544,-0.2581758174,-0.0442929244,-0.0349843033372407
DIC,2018,47854512000.0,11.9268775363,0.1738122691,150.91963462504853,10356.00081408,0.0139194592,0.0025752761,0.0031323298721885
DIC,2017,47854512000.0,4.4334787402,0.170389229,431.507822660484,10564.0480360974,0.0391516642,0.0078979253,0.0049632677106388
DIC,2016,47854512000.0,4.3545008466,0.1716102095,447.4436949142852,10488.8864417675,0.0401731654,0.0095338895,0.0063424917630908
DIC,2015,47854512000.0,3.1932755567,0.1691176572,585.2749608062036,10643.4776213202,0.0597568613,0.0125449646,0.0051650504905823
DIC,2014,30747249000.0,4.5550413513,0.1506838591,395.1665552908489,11945.5395617149,0.0317139716,0.0067423445,0.0023865315425105
DID,2023,62537075656.0,229.3864774933,0.3409179089,17.450897907076897,11741.82961849,0.0014873215,0.0007531922,0.0011988030380774
DID,2022,62490208000.0,132.0733215465,0.3411694637,30.28620733667585,11724.3787205829,0.0027124938,0.0013040054,0.0013413997614723
DID,2021,46356500000.0,56.5182147447,0.279760185,59.00752553956835,11920.9243439568,0.0049607705,0.0024559467,0.0033440942328786
DID,2020,206415000000.0,87.3806807153,1.2511862085,169.94603244604318,11868.7369623022,0.0144178776,0.0074379576,0.0095489364864425
DID,2019,134802200000.0,24.5778874295,0.8284915618,394.5823264028777,11705.611073741,0.0420089796,0.0185747261,0.0202941447510257
DID,2018,77584000000.0,11.1010779231,0.7883583454,873.608857375,12301.5124485,0.0735918008,0.0274223456,0.027012791688811
DID,2017,77584000000.0,45.2480988562,0.8476899572,214.329446875,11440.503591125,0.02264379,0.0087551445,0.0070064658505331
DID,2016,48490000000.0,15.5172562024,0.8092430523,624.9816252,11984.0386308,0.0518062027,0.0199844232,0.0151007014918825
DID,2015,48490000000.0,23.3888170127,0.7986075399,414.6426044,12143.6369118,0.0347163887,0.0147812757,0.0132368731302306
DID,2014,48490000000.0,23.5262137202,0.8257981236,412.2210278,11743.7903074,0.0350489789,0.014550618,0.0126210663385741
DIG,2023,13050832693000.0,119.2459779571,1.7060463271,194.68179272415105,12543.6218581592,0.0156345705,0.0075202257,0.1157469767958663
DIG,2022,16313540866250.0,118.5635049189,2.1641705542,236.33317586835147,12360.3936611341,0.0192142054,0.0091235717,0.0759894109640574
DIG,2021,7148440756600.0,7.7127012059,0.957690435,1972.7387685496903,14931.7561053944,0.1582707385,0.0687861021,0.3839134829116974
DIG,2020,30798229681700.0,45.4839932198,6.507754028,2233.13827444272,14859.1971337722,0.1616527779,0.071040703,0.2859622613116046
DIG,2019,9763251631000.0,26.5874134917,2.4750277109,1241.459243317028,12525.1122899716,0.1081754421,0.0520301931,0.1848000398620893
DIG,2018,7827028273000.0,24.1580981783,2.4988859023,1283.2135945119512,12405.528388493,0.1060543681,0.0501716491,0.1381623797649085
DIG,2017,7384039389000.0,39.1658790179,2.6206667924,823.8420109507084,11829.0505645549,0.0689920669,0.0328178466,0.1231308299764212
DIG,2016,7384039389000.0,138.9226862437,2.7035153599,245.3704828819136,11466.5522006715,0.0214307735,0.0106603487,0.050737500874977
DIG,2015,6650547583000.0,1240.5837900321,2.5470197228,48.76071416403848,12171.0875353423,0.0041048549,0.0020671813,0.0159652287680047
DIG,2014,5541052220000.0,126.1622087246,2.3153409299,245.71541916852752,13388.9569348489,0.0182462089,0.0090897838,0.0635573425008006
DIH,2023,91722918600.0,7.2363510822,0.8666541464,2349.2503068409774,17654.1011936356,0.1396232878,0.0166087678,0.0484113140561014
DIH,2022,151672538600.0,27.8900589849,1.5815300937,1007.9258392296732,15997.1663526808,0.0648119084,0.0066999309,0.0343757013970838
DIH,2021,153471027200.0,157.0446118935,1.6946975832,181.12333873008703,15105.9399942819,0.012018228,0.0017122493,0.0062405155430866
DIH,2020,344710315000.0,528.2477291923,3.8242829664,120.94493793288432,15035.4982895638,0.0079897344,0.0019773417,0.0041805991124373
DIH,2019,197833746000.0,125.2687142079,2.1654132682,292.704103211997,15239.5852028753,0.0191249424,0.0054285555,0.0119698508810531
